sampID,nosz1,nosz2,nirs1,nirs2,nirk1,nirk2,nrfa11,nrfa12,16S,16S2,nrfa21,nrfa22,original_sample_ID,site_ID,sample_period,crop,treatment,trt_type
DNRA16_017,-0.009122638,-0.169671356,-0.073070246,-0.068792039,0.04255632,0.081778762,-0.010874882,0.046813984,-0.006859562,-0.048555986,-0.012900596,-0.024870786,BC PP 11,Biochar,Post-plant,Corn,0+Biochar,Conventional
DNRA16_018,-0.087905889,-0.048257052,0.063826609,0.185089515,-0.161813812,-0.037680967,-0.027246498,0.022744409,0.040174495,-0.05334185,-0.00486009,-0.062289995,BC PP 12,Biochar,Post-plant,Corn,0+Biochar,Conventional
DNRA16_019,0.14717142,0.104971431,,,,,-0.062375646,0.104348115,0.083446031,-0.066654971,-0.03305499,-0.027839947,BC PP 13,Biochar,Post-plant,Corn,0+Biochar,Conventional
DNRA16_020,0.130879095,0.016914491,,,-0.242736902,-0.1269001,-0.072808981,-0.031941684,0.086002747,-0.037196504,-0.075527861,-0.034796117,BC PP 14,Biochar,Post-plant,Corn,0+Biochar,Conventional
DNRA16_021,,,,,-0.304062866,-0.050196041,-0.15866578,0.074294705,0.075863073,-0.106904624,0.052921867,-0.101796495,BC PP 21,Biochar,Post-plant,Corn,240+Biochar,Conventional
DNRA16_022,,,,,-0.327140998,-0.029850106,-0.104325956,-0.112680169,0.041838289,-0.115626298,0.001522774,-0.04843378,BC PP 22,Biochar,Post-plant,Corn,240+Biochar,Conventional
DNRA16_023,0.012205097,-0.098543535,,,-0.222003959,0.051094694,-0.107932588,0.072676083,0.097065913,-0.028620772,0.007770828,-0.036751149,BC PP 23,Biochar,Post-plant,Corn,240+Biochar,Conventional
DNRA16_024,0.139892082,-0.007421964,0.068427197,0.153921683,-0.142912093,0.027056851,-0.065348787,0.147475894,0.100563957,-0.051723938,0.006313401,-0.071066079,BC PP 24,Biochar,Post-plant,Corn,240+Biochar,Conventional
DNRA16_025,0.066340349,0.113656482,,,-0.199029803,-0.177536687,-0.108096722,0.037907747,0.003229262,-0.06504663,-0.041893677,-0.070428679,BC PP 31,Biochar,Post-plant,Corn,0+No Biochar,Conventional
DNRA16_026,,,,,-0.312774605,0.093082309,-0.197172984,0.037097904,0.022952161,-0.052621795,-0.087748065,-0.056974056,BC PP 32,Biochar,Post-plant,Corn,0+No Biochar,Conventional
DNRA16_027,0.078644439,0.153775224,,,-0.14792364,-0.212654028,-0.045878261,0.090828674,0.077211511,-0.052097302,-0.143706001,0.012157275,BC PP 33,Biochar,Post-plant,Corn,0+No Biochar,Conventional
DNRA16_028,-0.005210086,0.114853573,0.113675129,0.086635962,0.059812147,0.108777101,-0.016114835,0.177351648,0.104592162,-0.032970703,-0.157026397,0.15954104,BC PP 34,Biochar,Post-plant,Corn,0+No Biochar,Conventional
DNRA16_029,0.068693931,-0.077866155,0.071953126,-0.178935933,-0.086367638,0.065376679,-0.099291714,-0.042480904,-0.001239813,-0.068748154,-0.009403134,-0.041373844,BC PP 41,Biochar,Post-plant,Corn,240+No Biochar,Conventional
DNRA16_030,0.031544648,0.135238108,,,-0.157887615,-0.108430015,-0.090880372,-0.118210492,0.011233494,-0.051075494,-0.197755498,-0.173883029,BC PP 42,Biochar,Post-plant,Corn,240+No Biochar,Conventional
DNRA16_031,-0.028851589,-0.00779394,0.085188729,-0.306203356,-0.245807159,-0.107931827,-0.090754639,-0.008019274,0.078334537,-0.025526684,-0.107178916,-0.012306799,BC PP 43,Biochar,Post-plant,Corn,240+No Biochar,Conventional
DNRA16_032,0.067283185,0.048347902,0.195235051,0.264288731,-0.189353233,0.061281842,-0.175166058,0.069654582,0.085621251,-0.030857766,0.042547462,-0.096409928,BC PP 44,Biochar,Post-plant,Corn,240+No Biochar,Conventional
DNRA16_033,-0.002771458,-0.051639566,-0.064138121,-0.003280836,0.044743223,-0.090628052,-0.136476759,-0.043130496,0.084113143,-0.014016202,0.01818774,-0.062403535,EF PF 11,Energy Farm,Pre-fert,Soy,CSR,Conventional
DNRA16_034,0.108729112,-0.108656799,,,0.032544898,-0.198108475,0.078360242,0.216477472,-0.001294163,0.010782121,0.034905896,-0.088270117,EF PF 12,Energy Farm,Pre-fert,Soy,CSR,Conventional
DNRA16_035,-0.026848301,0.100078938,0.085007311,-0.076516957,0.18856211,0.171954374,-0.041035699,0.122615146,0.007354883,-0.075167018,-0.079003059,0.133318844,EF PF 13,Energy Farm,Pre-fert,Soy,CSR,Conventional
DNRA16_036,0.030184568,0.193257096,-0.072018027,-0.117357244,-0.039173487,0.130632852,-0.037387518,-0.137609385,0.001465273,0.014267538,-0.027890327,-0.098837146,EF PF 14,Energy Farm,Pre-fert,Soy,CSR,Conventional
DNRA16_037,0.011860033,0.056682804,-0.114262784,-0.086695749,0.177469827,0.096575436,0.094213803,-0.071725315,-0.041499379,0.06132473,0.112539368,0.088721477,EF PF 21,Energy Farm,Pre-fert,Miscanthus,Miscanthus fert,Perennial
DNRA16_038,-0.079095684,0.059725487,0.00649083,-0.138969989,0.148258977,-0.127572334,0.115164522,-0.141154729,-0.032418542,0.0705434,0.301807376,0.259855745,EF PF 22,Energy Farm,Pre-fert,Miscanthus,Miscanthus fert,Perennial
DNRA16_039,-0.158062609,-0.003490541,-0.278473218,0.071598959,0.293420634,0.246274757,0.389407692,-0.002573921,-0.143271807,0.120756613,0.226119499,0.176291105,EF PF 23,Energy Farm,Pre-fert,Miscanthus,Miscanthus fert,Perennial
DNRA16_040,0.032123196,0.081371217,-0.087237053,0.103726833,0.046060699,0.149615261,0.222025755,-0.052021237,-0.15027493,0.035504089,0.061807635,-0.016383717,EF PF 24,Energy Farm,Pre-fert,Miscanthus,Miscanthus fert,Perennial
DNRA16_041,-0.140004155,-0.096290312,-0.037001628,0.037116149,0.182980324,0.067696987,0.095189062,-0.026520288,-0.055564705,0.071804266,0.049466856,-0.021605269,EF PF 31,Energy Farm,Pre-fert,Miscanthus,Miscanthus unfert,Perennial
DNRA16_042,-0.148183089,-0.020558136,-0.164980323,0.044510198,0.14442418,0.127463454,,,-0.082159274,0.059002548,,,EF PF 32,Energy Farm,Pre-fert,Miscanthus,Miscanthus unfert,Perennial
DNRA16_043,-0.118327548,0.106994486,-0.138075337,0.084597851,0.145051334,-0.013945861,0.197748449,-0.095615933,-0.074841994,0.08070145,0.230086678,0.144242794,EF PF 33,Energy Farm,Pre-fert,Miscanthus,Miscanthus unfert,Perennial
DNRA16_044,-0.090844877,-0.0912036,0.214162809,-0.250481492,0.264710502,-0.032961811,0.110959866,-0.046174243,-0.062128299,0.188749682,0.145486567,0.045891114,EF PF 34,Energy Farm,Pre-fert,Miscanthus,Miscanthus unfert,Perennial
DNRA16_045,-0.07978839,0.029260022,-0.151857215,-0.036990064,0.121457428,0.157363884,0.110840705,-0.162363588,-0.055333341,0.102160517,0.168537357,-0.006742404,EF PF 41,Energy Farm,Pre-fert,Switchgrass,Switchgrass,Perennial
DNRA16_046,-0.027497203,-0.071655105,-0.232671008,0.072328431,0.179360605,-0.095688033,0.151873621,-0.044014763,0.016440092,0.124532835,0.166579802,0.10056702,EF PF 42,Energy Farm,Pre-fert,Switchgrass,Switchgrass,Perennial
DNRA16_047,-0.109255032,0.02717256,,,0.234116235,0.049776834,0.195381484,0.198544836,0.003707816,0.140939247,0.068842687,0.332334776,EF PF 43,Energy Farm,Pre-fert,Switchgrass,Switchgrass,Perennial
DNRA16_048,-0.08687445,0.043260542,0.129220854,0.053571567,0.180871166,0.081970675,0.243638826,0.149066995,-0.090816537,0.073564743,0.064267898,-0.026847997,EF PF 44,Energy Farm,Pre-fert,Switchgrass,Switchgrass,Perennial
DNRA16_049,-0.087541582,0.088099229,-0.25426209,-0.065297851,-0.109656954,0.214413678,-0.216657939,0.076895239,0.056737874,-0.028334659,0.017896756,-0.099923228,EF PP 11,Energy Farm,Post-plant,Soy,CSR,Conventional
DNRA16_050,-0.229980157,0.097351556,0.161785284,-0.173879852,0.074510914,-0.187607775,-0.166344137,-0.039039048,0.055722633,0.036093258,-0.051801535,-0.059309467,EF PP 12,Energy Farm,Post-plant,Soy,CSR,Conventional
DNRA16_052,0.05249109,-0.139125365,0.06306515,0.235780055,-0.03415445,-0.117316583,-0.038405865,-0.062487391,0.02782951,-0.015444773,0.028191551,-0.078696288,EF PP 13,Energy Farm,Post-plant,Soy,CSR,Conventional
DNRA16_053,0.024416762,0.130840139,,,0.250861317,-0.310733737,-0.14917211,0.053200738,0.051492778,0.010449525,0.053560248,-0.070356106,EF PP 14,Energy Farm,Post-plant,Soy,CSR,Conventional
DNRA16_054,-0.119366806,0.067500714,-0.16033802,0.007324125,0.231586497,-0.053156856,0.145032529,0.010875754,-0.026108522,0.045090672,0.046527203,-0.014780244,EF PP 21,Energy Farm,Post-plant,Miscanthus,Miscanthus fert,Perennial
DNRA16_055,-0.14456369,0.055794842,-0.052360227,-0.230820965,0.184722266,-0.140539837,0.231306588,0.057293804,0.026754846,0.157967342,0.085265122,0.193864016,EF PP 22,Energy Farm,Post-plant,Miscanthus,Miscanthus fert,Perennial
DNRA16_056,-0.203103249,0.00345922,,,0.410906085,-0.18762581,0.265024084,0.054253559,-0.113022099,0.126509879,0.224403583,0.200338951,EF PP 23,Energy Farm,Post-plant,Miscanthus,Miscanthus fert,Perennial
DNRA16_057,,,,,-0.14511901,-0.356416265,0.11893975,0.001389111,-0.090916719,0.059950088,0.054237846,-0.003305143,EF PP 24,Energy Farm,Post-plant,Miscanthus,Miscanthus fert,Perennial
DNRA16_058,,,,,,,0.147269877,0.064565043,0.024239803,0.133405329,0.075311072,0.007466597,EF PP 31,Energy Farm,Post-plant,Miscanthus,Miscanthus unfert,Perennial
DNRA16_059,-0.14181177,-0.04914009,,,0.30643341,0.17542857,0.098502185,0.073200446,-0.03662145,0.086332128,0.038787025,-0.015451817,EF PP 32,Energy Farm,Post-plant,Miscanthus,Miscanthus unfert,Perennial
DNRA16_060,-0.092786918,-0.169389961,,,0.201685441,-0.023751334,0.098221944,-0.110541229,-0.14384265,0.100360023,0.081436979,-0.005419777,EF PP 33,Energy Farm,Post-plant,Miscanthus,Miscanthus unfert,Perennial
DNRA16_061,-0.18544678,0.132810932,,,0.286139795,0.126524399,0.241766352,-0.042324414,-0.170409681,0.088500531,0.056332011,0.022863057,EF PP 34,Energy Farm,Post-plant,Miscanthus,Miscanthus unfert,Perennial
DNRA16_062,-0.106630346,-0.140174408,0.263231972,-0.033821258,0.294396504,0.067144748,0.172151063,0.095521336,0.01569418,0.184020372,0.109101451,0.263525382,EF PP 41,Energy Farm,Post-plant,Switchgrass,Switchgrass,Perennial
DNRA16_063,-0.081809852,-0.119919127,,,0.269122574,-0.08526129,0.117427463,0.052847882,-0.018440214,0.126808551,0.065582915,0.045882649,EF PP 42,Energy Farm,Post-plant,Switchgrass,Switchgrass,Perennial
DNRA16_064,-0.247624833,-0.021453837,,,0.404557515,-0.101634733,0.147227604,0.217589452,-0.000787396,0.164833787,0.027569579,0.257232225,EF PP 43,Energy Farm,Post-plant,Switchgrass,Switchgrass,Perennial
DNRA16_065,-0.036758053,-0.202802449,,,0.372922725,-0.010200075,0.194874057,-0.017769176,-0.085335912,0.141654997,0.056701114,-0.01216069,EF PP 44,Energy Farm,Post-plant,Switchgrass,Switchgrass,Perennial
DNRA16_066,-0.152800651,0.022675559,-0.222357079,-0.295486865,0.028863907,0.304507946,0.068118918,0.014656587,-0.072301549,-0.037729969,0.036003788,-0.068434725,PB PP 11,Perennial Buffers,Post-plant,Corn,Corn simple,Conventional
DNRA16_067,,,,,-0.119546929,0.09162707,-0.024493271,0.132040758,0.012950024,-0.005614542,0.009510574,-0.069116441,PB PP 12,Perennial Buffers,Post-plant,Corn,Corn simple,Conventional
DNRA16_068,0.196792024,0.029833472,,,-0.130047962,-0.110786729,0.041862279,-0.288812031,0.007620993,-0.034772438,0.124439271,-0.095467082,PB PP 13,Perennial Buffers,Post-plant,Corn,Corn simple,Conventional
DNRA16_069,0.096561566,-0.213422595,,,-0.175627836,0.343764006,-0.126390148,0.016942492,-0.039562241,-0.130342079,0.042806176,-0.109008502,PB PP 14,Perennial Buffers,Post-plant,Corn,Corn simple,Conventional
DNRA16_070,0.180512761,0.0596912,,,-0.187332265,0.180766201,-0.192337435,-0.010159697,0.057510219,-0.031203133,-0.089787145,-0.210258218,PB PP 21,Perennial Buffers,Post-plant,Corn,Corn complex,Conventional
DNRA16_071,-0.516378656,0.065015406,,,0.00969518,0.273056388,-0.046935071,-0.100593652,0.012447994,-0.102936903,0.034166097,-0.050075474,PB PP 22,Perennial Buffers,Post-plant,Corn,Corn complex,Conventional
DNRA16_072,-0.005539674,-0.142366609,-0.15247104,0.121845959,0.092151459,0.074051617,0.004673021,0.014332569,0.033231086,-0.009063706,0.045864834,-0.073540045,PB PP 23,Perennial Buffers,Post-plant,Corn,Corn complex,Conventional
DNRA16_073,-0.066859894,-0.068119784,0.308807507,-0.064747001,0.010041858,0.133460795,-0.123274318,-0.082591277,0.093356563,-0.07982432,0.030453929,-0.104600987,PB PP 24,Perennial Buffers,Post-plant,Corn,Corn complex,Conventional
DNRA16_074,0.015746632,0.258548254,,,0.23310201,0.271296683,0.033041769,0.113182023,-0.077493965,-0.048854485,0.041519714,-0.089403268,PB PP 31,Perennial Buffers,Post-plant,Switchgrass - new,Bioenergy simple,Perennial - new
DNRA16_075,0.150094615,-0.084235242,0.125040348,0.026736441,0.101992121,-0.148518532,-0.03629274,-0.030633323,0.029433527,0.039915853,-0.112007906,-0.054083919,PB PP 32,Perennial Buffers,Post-plant,Switchgrass - new,Bioenergy simple,Perennial - new
DNRA16_076,-0.051244736,-0.1482703,,,0.252064115,-0.170136132,-0.201455174,0.173178121,0.03089489,0.012021763,0.009951541,0.04330202,PB PP 33,Perennial Buffers,Post-plant,Switchgrass - new,Bioenergy simple,Perennial - new
DNRA16_077,0.078892151,0.014803223,0.238822827,0.053151364,-0.05983648,0.210908429,0.028150347,-0.061704012,0.061785646,0.030808099,-0.033129739,0.104552101,PB PP 34,Perennial Buffers,Post-plant,Switchgrass - new,Bioenergy simple,Perennial - new
DNRA16_078,0.04497657,0.075240909,-0.115717027,-0.117564469,0.019031695,0.036363103,-0.242503748,0.030071803,-0.135430546,-0.048917841,0.057069535,-0.092611205,PB PP 41,Perennial Buffers,Post-plant,Switchgrass - new,Bioenergy complex,Perennial - new
DNRA16_079,-0.007780206,0.042718387,0.00133121,0.097494046,0.065425002,-0.023346953,-0.042092148,-0.046568572,0.016377911,-0.00420523,-0.034911661,0.003880295,PB PP 42,Perennial Buffers,Post-plant,Switchgrass - new,Bioenergy complex,Perennial - new
DNRA16_080,,,,,0.043024083,-0.321230066,-0.005466077,-0.085968755,0.117531553,0.016123101,0.083452894,-0.048497401,PB PP 43,Perennial Buffers,Post-plant,Switchgrass - new,Bioenergy complex,Perennial - new
DNRA16_081,0.022217478,0.005855517,0.002110361,0.016130344,-0.06433771,-0.052547245,0.012061394,0.078733607,0.090969543,0.036616395,-0.047241589,0.087141345,PB PP 44,Perennial Buffers,Post-plant,Switchgrass - new,Bioenergy complex,Perennial - new
DNRA16_082,0.03838883,-0.048836998,0.309308645,0.025884946,0.172025368,-0.294253834,-0.165052285,0.438407999,0.346555161,-0.034472743,-0.617551639,0.094636131,NT PP 11,PZM,Post-plant,Corn,PZM corn,Conservation - residue
DNRA16_083,0.058351087,-0.015275925,0.192891358,0.074035638,-0.099217306,-0.150865335,-0.126466009,0.215030559,0.190337355,-0.049660765,-0.128904922,-0.035992834,NT PP 12,PZM,Post-plant,Corn,PZM corn,Conservation - residue
DNRA16_084,0.040274547,-0.172335071,0.117245185,0.294100155,-0.221832761,0.167716671,-0.168155852,-0.066066243,0.025625344,-0.088357829,-0.120303011,0.033030009,NT PP 13,PZM,Post-plant,Corn,PZM corn,Conservation - residue
DNRA16_085,0.045112818,0.026878673,-0.282218907,0.364297875,-0.241612027,0.115809736,-0.183928141,-0.009167377,0.028071678,-0.044602267,-0.130806034,0.085238712,NT PP 14,PZM,Post-plant,Corn,PZM corn,Conservation - residue
DNRA16_086,0.128123271,0.102601465,,,-0.021245037,0.176261637,-0.02115374,-0.211278446,-0.280871147,-0.082480081,0.078629304,-0.072235785,NT PP 21,No-till,Post-plant,Corn,NT corn,Conservation - no-till
DNRA16_087,-0.028175453,0.068067707,0.001397148,0.28023493,-0.00384914,0.193314146,-0.027786589,-0.246592919,-0.251138782,-0.116414655,0.060746914,-0.068673953,NT PP 22,No-till,Post-plant,Corn,NT corn,Conservation - no-till
DNRA16_088,,,-0.200636819,0.138305569,-0.241019383,0.022620394,-0.067947216,-0.147468255,-0.207512716,-0.042158269,0.056587786,-0.039727597,NT PP 23,No-till,Post-plant,Corn,NT corn,Conservation - no-till
